date_mdy,journal_year,month,journal_entry,location,local_place,latitude,longitude,temp_reported,below_zero,temp_values_1,temp_values_2,temp_mentioned
1886-02-05T00:00:00Z,1886,February,Wind Northerly Fresh. and the Thermometer below zero all day To cold to work in shop. and staid in the house most of the time,Winter Harbor,home,NA,NA,TRUE,TRUE,NA,NA,FALSE
1887-06-29T00:00:00Z,1887,June,Moderate Southerly Thermometer $5 at noon in shade Work all day on EJ Hammonds Stable,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1888-01-29T00:00:00Z,1888,January,Moderate N.W. wind. but the weather very cold The Thermometer being in the house cannot tell how cold it is out of door My health is improving although have not been out of doors,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1888-12-14T00:00:00Z,1888,December,Wind North West Thermometer below zero great demand for coal hauling most all day,NA,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE
1889-02-23T00:00:00Z,1889,February,Wind North. fresh. Thermometer below zero all day. work in the house keeping the pipes in house from freezing,NA,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE
1889-06-29T00:00:00Z,1889,June,Wind Southerly Thermometer on South St. 86 degrees Thick with fog morning and night. The little Naphtra Lainch was fired up to day to try her machinery It works all night but she is not quite ready,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1889-11-26T00:00:00Z,1889,November,Wind N.N. West. fresh. Thermometer at freezing point working out of door getting ready for cold weather,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1890-12-31T00:00:00Z,1890,December,Wind North West and cold It is now good sledding. The month just ended has been a very hard month. and I think on the whole The Thermometer has been below zero as much as it has above. I am in the coal and wood business alone now having bought out my partner Capt. W. W. Summer and am now expecting daily the Sch Lucy M. Collins with coal of 2.21 tons all stone coal as she was loaded in N.Y. Dec 24th,NA,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE
1891-01-04T00:00:00Z,1891,January,Very moderate Wind North and North East Thermometer about 10' above zero Took a ride down on Grindstone Point,Grindstone Point,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1891-01-10T00:00:00Z,1891,January,Wind very light Northerly Thermometer about from 10' to 20' above work on my shed commenced yesterday Sent team to Prospect Harbor with coal in afternoon,NA,shed,NA,NA,TRUE,FALSE,NA,NA,FALSE
1891-12-19T00:00:00Z,1891,December,Wind Westerly and fine. Thermometer stood at abt. from 15 to 35' hauled coal to Prospect and about Winter Harbor,"Prospect Harbor, Winter Harbor",NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1892-01-24T00:00:00Z,1892,January,Wind North North East Thermometer a little below zero in the morning. at dark 10' above. Went to Prospect to see Alfred Hamilton,Prospect Harbor,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE
1892-02-16T00:00:00Z,1892,February,Wind North West. Thermometer abt. 12' above Work on Charles Kingsleys boat,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1892-12-19T00:00:00Z,1892,December,Wind very moderate Northerly Thermometer went from 15' above to 35 above a little spit of snow. hauling coal on wheels In evening went to Pacific Hall to a Sociable with my wife The Proceeds are to buy a hearse,NA,Pacific Hall,NA,NA,TRUE,FALSE,NA,NA,FALSE
1893-01-22T00:00:00Z,1893,January,Very moderate Light air NW. Thermometer in the warmest part of the day 15' above a very little snow,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1893-02-06T00:00:00Z,1893,February,Wind Southerly The Thermometer rising with a mixture of rain and snow untill night when the rain poured down in torrents,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1893-11-10T00:00:00Z,1893,November,Wind North East. The Thermometer down to freezing point in shade built a coop for ducks,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1893-12-13T00:00:00Z,1893,December,Wind Northerly Thermometer about zero all day. In evening went to Masonic Hall Hod H. Hanson passed to a F.C.,Winter Harbor,Masonic Hall,NA,NA,TRUE,FALSE,NA,NA,FALSE
1894-01-12T00:00:00Z,1894,January,Wind North West and blowing a perfect gale all day The Thermometer went from 30' above in the morning to 4' below at night In the forenoon took my wife in Sleigh down on Grindstone Neck visiting where we staid to dinner to Capt Summers going home in afternoon if it was dreadful bitter,"Winter Harbor, Grindstone Neck",NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1894-02-11T00:00:00Z,1894,February,Wind Westerly a fine day with the Thermometer ranging from 28 degrees to 32' Wind freshening at night Staid about home,Winter Harbor,home,NA,NA,TRUE,FALSE,NA,NA,FALSE
1894-02-22T00:00:00Z,1894,February,Wind Southerly and fine weather. Except Early in the morning it was calm and then the thermometer was at zero. Worked in forenoon on board Str M & M getting the ice out of the Engine room. In afternoon went to Prospect and bought tickets for the Exhibition to be used next Saturday,Prospect,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1894-07-20T00:00:00Z,1894,July,Calm and hot Thermometer at Bar Harbor where I make landings stand at 96' at night very light air of wind Southerly,Bar Harbor,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1894-12-27T00:00:00Z,1894,December,Wind Easterly and blowing heavy Ther 18' above and snowing hard. In afternoon wind hauled out. the Thermometer went up and rain fell in torrents blowing a gale The Str M & M which is in my care alongside of the wharf lays all night,NA,wharf,NA,NA,TRUE,FALSE,NA,NA,FALSE
1895-01-19T00:00:00Z,1895,January,Wind North North West Thermometer in morning here in South West Harbor 4' below zero. In afternoon went from S.W. Harbor to Somesville Ther 15' above. In evening went to Masonic Hall Exemplified the work in the M M D after which I installed the Officers of Mt Desert Lodge. Then went into the basement of Hall to a clam stew. toped through the night at Me. L E Holmes,"South West Harbor, Somesville, Winter Harbor","Masonic Hall, Mt Desert Lodge, Hall",NA,NA,TRUE,TRUE,NA,NA,FALSE
1895-01-25T00:00:00Z,1895,January,Wind North West moderate but cold Thermometer most down to zero. hauled coal in afternoon,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1895-02-08T00:00:00Z,1895,February,Wind Easterly Ther 18' above snowing hard. Wind hauled out Southerly and kept on snowing and the Thermometer went up to 30' above. In the evening held up snowing went to Globe Hall to hear Pros. Bateman lecture on love and marriage very high tide,Winter Harbor,Globe Hall,NA,NA,TRUE,FALSE,NA,NA,FALSE
1895-02-09T00:00:00Z,1895,February,Wind out Southerly and what does not very often Happen with The wind this way Thermometer almost at zero. Got sled fixed and in the afternoon hauled coal,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE
1895-12-10T00:00:00Z,1895,December,Calm in the morning Left Bar Harbor for Bangor in forenoon on arriving in Bangor was told that the Thermometer was at 11' below zero I cam here to sell house lots and to attend a masonic Convention to be held here next thursday,"Bar Harbor, Bangor",NA,NA,NA,TRUE,TRUE,NA,NA,FALSE
1896-02-22T00:00:00Z,1896,February,Wind North West in the forenoon. Ther. at zero at 6 AM In afternoon wind Southerly and the Thermometer went up very fine. Working in store Washingtons Birth day,Winter Harbor,store,NA,NA,TRUE,FALSE,NA,NA,FALSE
1896-03-26T00:00:00Z,1896,March,Wind Southerly Thermometer went up to 50' above the snow melts very fast. Work in store,Winter Harbor,store,NA,NA,TRUE,FALSE,NA,NA,FALSE
1896-12-29T00:00:00Z,1896,December,Wind very moderate South West Thermometer abt. 45 Staying in store In afternoon I telephoned to Dr. Paul Castor to come to Winter Harbor from Bar Harbor and he said he would come tomorrow to see Charles F. Kingsley,"Winter Harbor, Bar Harbor",store,NA,NA,TRUE,FALSE,NA,NA,FALSE
